# fw=nextui workload=gradius start=2026-09-13 13:26:53 soak=99C max0=1800000 gov=schedutil
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status
10742,36542,37212,37212,27600,1608000,1800000,71,3773000,Discharging
10744,38016,37882,37614,27500,1800000,1800000,71,3784000,Discharging
10746,37413,37346,37145,27500,1800000,1800000,71,3781000,Discharging
10749,37145,37882,37882,27500,1800000,1800000,71,3784000,Discharging
10751,37346,38351,37413,27500,1800000,1800000,71,3783000,Discharging
10753,37279,37815,37480,27500,1608000,1800000,71,3784000,Discharging
10755,38217,38150,37815,27500,1800000,1800000,71,3782000,Discharging
10757,37815,38016,37681,27600,1800000,1800000,70,3784000,Discharging
10759,37279,38150,37815,27500,1800000,1800000,70,3784000,Discharging
10761,37815,38284,37681,27500,1800000,1800000,70,3785000,Discharging
10763,37011,37949,37279,27500,1800000,1800000,70,3786000,Discharging
10765,37614,37681,37748,27600,1800000,1800000,70,3780000,Discharging
10767,37748,38083,37882,27600,1800000,1800000,70,3782000,Discharging
10770,37882,38150,37815,27500,1800000,1800000,70,3782000,Discharging
10772,37346,38083,37748,27500,1800000,1800000,70,3782000,Discharging
10774,37614,38016,38351,27500,1800000,1800000,70,3781000,Discharging
10776,37681,37949,37681,27500,1800000,1800000,70,3782000,Discharging
10778,37145,37748,37413,27500,1800000,1800000,70,3783000,Discharging
10780,37480,38016,37681,27600,1608000,1800000,70,3780000,Discharging
10782,37681,37815,37547,27500,1800000,1800000,70,3782000,Discharging
10784,37011,38016,37815,27500,1608000,1800000,70,3783000,Discharging
10786,37547,38284,37346,27500,1608000,1800000,70,3784000,Discharging
10788,37078,37949,38083,27500,1800000,1800000,70,3771000,Discharging
10791,37681,37882,38083,27600,1800000,1800000,70,3780000,Discharging
10793,37748,38217,37413,27600,1800000,1800000,70,3779000,Discharging
10795,38150,38351,38083,27600,1800000,1800000,70,3783000,Discharging
10797,36877,37547,37212,27500,1800000,1800000,70,3782000,Discharging
10799,36877,37413,36743,27500,1800000,1800000,70,3783000,Discharging
10801,36810,37614,37078,27600,1800000,1800000,70,3784000,Discharging
10803,37413,38016,37882,27500,1800000,1800000,70,3780000,Discharging
10805,38016,38485,38083,27600,1800000,1800000,70,3781000,Discharging
10807,37748,37681,38083,27500,1800000,1800000,70,3784000,Discharging
10809,37413,37815,38016,27500,1800000,1800000,70,3780000,Discharging
10811,38150,38217,37815,27500,1800000,1800000,70,3763000,Discharging
10814,37279,38217,37547,27500,1608000,1800000,70,3781000,Discharging
10816,37614,38150,37681,27500,1800000,1800000,70,3784000,Discharging
10818,37413,37614,37748,27500,1800000,1800000,70,3780000,Discharging
10820,38016,38083,38284,27500,1800000,1800000,70,3783000,Discharging
10822,37815,38217,37681,27500,1416000,1800000,70,3783000,Discharging
10824,37614,38150,37413,27600,1800000,1800000,70,3785000,Discharging
10826,38016,37815,37882,27500,1800000,1800000,70,3783000,Discharging
10828,37547,37949,37882,27500,1800000,1800000,70,3781000,Discharging
10830,37413,37815,37681,27500,1800000,1800000,70,3782000,Discharging
10832,37614,38150,37681,27500,1800000,1800000,70,3782000,Discharging
10835,37748,38083,37882,27600,1800000,1800000,70,3762000,Discharging
10837,37346,38351,37413,27600,1800000,1800000,70,3782000,Discharging
10839,37614,37748,37681,27500,1800000,1800000,70,3781000,Discharging
10841,37480,38083,37547,27500,1800000,1800000,70,3782000,Discharging
10843,37212,38485,37815,27500,1608000,1800000,70,3781000,Discharging
10845,37681,37882,37547,27600,1800000,1800000,70,3782000,Discharging
10847,38083,38351,37882,27500,1800000,1800000,70,3781000,Discharging
10849,37480,37815,37480,27500,1608000,1800000,70,3781000,Discharging
10851,37547,38351,37815,27600,1800000,1800000,70,3782000,Discharging
10853,37882,38083,37614,27500,1800000,1800000,70,3782000,Discharging
10856,37413,37949,37480,27500,1800000,1800000,70,3779000,Discharging
10858,36877,37815,37346,27500,1608000,1800000,70,3784000,Discharging
10860,36408,37212,37346,27600,1800000,1800000,70,3777000,Discharging
10862,36743,37346,36810,27500,1800000,1800000,70,3783000,Discharging
10864,37480,37882,38016,27500,1608000,1800000,70,3780000,Discharging
10866,37480,37882,37748,27500,1800000,1800000,70,3775000,Discharging
10868,37614,38150,37681,27600,1800000,1800000,70,3778000,Discharging
10870,37949,38418,37480,27600,1800000,1800000,70,3780000,Discharging
10872,38016,37949,37815,27500,1800000,1800000,70,3779000,Discharging
10874,37145,38418,37681,27500,1608000,1800000,70,3780000,Discharging
