# fw=nextui workload=sonic start=2026-09-13 11:15:39 soak=99C max0=1800000 gov=schedutil
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status
2868,34934,36408,35470,25900,1800000,1800000,92,4009000,Discharging
2870,34867,36676,35671,25900,1800000,1800000,92,4005000,Discharging
2872,35135,36073,35470,26000,1800000,1800000,92,4005000,Discharging
2874,35269,36274,35269,25900,1608000,1800000,92,4005000,Discharging
2876,34934,36140,35470,25900,1800000,1800000,92,4005000,Discharging
2878,35202,36006,35604,25900,1800000,1800000,92,4009000,Discharging
2881,35001,36207,35403,26000,1800000,1800000,92,4006000,Discharging
2883,35001,35805,35269,26000,1608000,1800000,92,4005000,Discharging
2885,35068,36542,36207,26000,1608000,1800000,92,4006000,Discharging
2887,35068,35805,35403,26000,1608000,1800000,92,4005000,Discharging
2889,35001,36408,35403,26000,1416000,1800000,92,4005000,Discharging
2891,35202,36006,35336,25900,1800000,1800000,92,4004000,Discharging
2893,35068,36006,35336,25900,1800000,1800000,92,4004000,Discharging
2895,35403,36073,35202,26000,1800000,1800000,92,4005000,Discharging
2897,34733,35805,35403,26000,1800000,1800000,92,4005000,Discharging
2899,35269,36073,35403,26000,1800000,1800000,92,4005000,Discharging
2902,34465,36140,35470,26000,1608000,1800000,92,3987000,Discharging
2904,34867,36073,35738,26000,1800000,1800000,92,4004000,Discharging
2906,35269,36743,35738,26000,1800000,1800000,92,4003000,Discharging
2908,34666,36140,35336,26000,1800000,1800000,92,4004000,Discharging
2910,35202,36073,35671,26000,1800000,1800000,92,4006000,Discharging
2912,34666,36073,35403,26000,1608000,1800000,92,4002000,Discharging
2914,34867,36140,35403,26000,1800000,1800000,92,4002000,Discharging
2916,34800,35939,35269,26000,1416000,1800000,92,4008000,Discharging
2918,34867,36006,35537,26000,1800000,1800000,92,4009000,Discharging
2920,34867,35939,35001,26000,1800000,1800000,92,4005000,Discharging
2923,34867,36006,35805,26000,1800000,1800000,92,4004000,Discharging
2925,34800,36274,35604,26000,1800000,1800000,92,3994000,Discharging
2927,34934,36006,35805,26000,1800000,1800000,92,4009000,Discharging
2929,35135,36006,35939,26000,1608000,1800000,92,4005000,Discharging
2931,35202,36274,35537,26000,1800000,1800000,92,4004000,Discharging
2933,34733,36140,35537,26000,1416000,1800000,92,4004000,Discharging
2935,35202,36408,35537,26000,1800000,1800000,92,4003000,Discharging
2937,35470,36341,35604,26000,1800000,1800000,92,4001000,Discharging
2939,34733,36207,35537,26000,1800000,1800000,92,4003000,Discharging
2941,35135,35939,35403,26000,1800000,1800000,92,4001000,Discharging
2944,35403,36408,35403,26100,1608000,1800000,92,4002000,Discharging
2946,35604,36006,35470,26000,1800000,1800000,92,4003000,Discharging
2948,35001,35872,35671,26100,1800000,1800000,92,4003000,Discharging
2950,34934,36207,35336,26000,1800000,1800000,92,4004000,Discharging
2952,35135,35604,35135,26100,1800000,1800000,92,4004000,Discharging
2954,34800,36073,35068,26100,1800000,1800000,92,4001000,Discharging
2956,35470,36207,35604,26000,1800000,1800000,92,3998000,Discharging
2958,35336,36073,35202,26100,1800000,1800000,92,4002000,Discharging
2960,35068,36140,35872,26000,1800000,1800000,92,4007000,Discharging
2962,34733,36475,35068,26100,1800000,1800000,92,4001000,Discharging
2965,34800,35872,35336,26100,1608000,1800000,92,4001000,Discharging
2967,35001,36207,35403,26000,1416000,1800000,92,4008000,Discharging
2969,34800,36475,35202,26100,1416000,1800000,92,3991000,Discharging
2971,35001,36073,35403,26100,1800000,1800000,92,4002000,Discharging
2973,34867,35872,35336,26100,1800000,1800000,92,4002000,Discharging
2975,34867,35939,35939,26100,1608000,1800000,92,4006000,Discharging
2977,35001,36274,34934,26100,1608000,1800000,92,4007000,Discharging
2979,34666,36207,35537,26100,1800000,1800000,92,4003000,Discharging
2981,35336,36274,35269,26100,1800000,1800000,92,4000000,Discharging
2983,34867,35604,35202,26100,1800000,1800000,92,4003000,Discharging
2986,35001,36006,35135,26100,1800000,1800000,92,4004000,Discharging
2988,34934,36207,35604,26100,1800000,1800000,92,4003000,Discharging
2990,34867,36073,35470,26100,1800000,1800000,92,4003000,Discharging
2992,35202,36274,35269,26100,1800000,1800000,92,3989000,Discharging
2994,35001,35872,35269,26100,1800000,1800000,92,4002000,Discharging
2996,35269,36408,35336,26100,1800000,1800000,92,4003000,Discharging
2998,35135,36006,35805,26100,1800000,1800000,92,4002000,Discharging
3000,35135,36274,35671,26100,1800000,1800000,92,4004000,Discharging
3002,34733,36073,35738,26100,1800000,1800000,92,4003000,Discharging
3004,34733,36006,35470,26100,1800000,1800000,92,4004000,Discharging
3007,35068,35470,35671,26100,1800000,1800000,92,4004000,Discharging
3009,35001,36207,35403,26100,1800000,1800000,92,4006000,Discharging
3011,35001,36207,35470,26100,1800000,1800000,92,4001000,Discharging
3013,34934,36073,35604,26100,1800000,1800000,92,4001000,Discharging
3015,35135,35604,35269,26100,1800000,1800000,92,3997000,Discharging
3017,35135,35738,35403,26100,1800000,1800000,92,4003000,Discharging
3019,34666,36006,35403,26100,1800000,1800000,92,4003000,Discharging
3021,34934,35470,35470,26100,1416000,1800000,92,4002000,Discharging
3023,35269,36006,35269,26100,1608000,1800000,92,4002000,Discharging
3025,34867,36341,35403,26100,1800000,1800000,92,4002000,Discharging
3028,35068,36274,36006,26100,1608000,1800000,92,4002000,Discharging
3030,35470,36140,35738,26100,1800000,1800000,92,4002000,Discharging
3032,34867,35738,35336,26100,1800000,1800000,92,4003000,Discharging
3034,35068,36408,35738,26200,1800000,1800000,92,4003000,Discharging
3036,34666,35939,35269,26100,1800000,1800000,92,4002000,Discharging
3038,35403,36073,35135,26200,1800000,1800000,92,4001000,Discharging
