# fw=nextui workload=sf2 start=2026-09-13 11:32:04 soak=99C max0=1800000 gov=schedutil
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status
3853,35671,36944,35939,26900,1800000,1800000,90,3984000,Discharging
3855,35805,36810,36006,26900,1800000,1800000,90,3983000,Discharging
3857,35671,36542,36006,26900,1800000,1800000,90,3983000,Discharging
3859,35671,36542,35738,27000,1800000,1800000,90,3982000,Discharging
3861,36006,36743,36341,26900,1416000,1800000,90,3981000,Discharging
3863,35872,36475,36140,26900,1608000,1800000,90,3981000,Discharging
3865,36006,37011,36006,26900,1800000,1800000,90,3980000,Discharging
3867,35805,36743,36073,26900,1800000,1800000,90,3981000,Discharging
3869,35671,37011,35872,26900,1800000,1800000,90,3981000,Discharging
3872,35671,36073,36475,26900,1800000,1800000,90,3980000,Discharging
3874,35671,37011,36341,26900,1800000,1800000,90,3980000,Discharging
3876,36006,36810,36408,26900,1800000,1800000,90,3980000,Discharging
3878,35336,36542,36140,26900,1800000,1800000,90,3979000,Discharging
3880,35403,36542,36341,26900,1800000,1800000,90,3981000,Discharging
3882,36006,36810,36073,27000,1800000,1800000,90,3983000,Discharging
3884,35805,36743,36207,26900,1800000,1800000,90,3984000,Discharging
3886,35872,36475,36609,26900,1800000,1800000,90,3980000,Discharging
3888,35872,36743,36274,26900,1416000,1800000,90,3979000,Discharging
3890,36073,36676,36341,26900,1800000,1800000,90,3979000,Discharging
3893,35537,37212,36743,26900,1608000,1800000,90,3978000,Discharging
3895,36140,37011,36676,26900,1800000,1800000,90,3978000,Discharging
3897,35805,36877,36207,26900,1800000,1800000,90,3978000,Discharging
3899,36006,36743,36140,26900,1800000,1800000,90,3978000,Discharging
3901,36006,36542,36274,26900,1800000,1800000,90,3977000,Discharging
3903,35939,36877,36274,26900,1800000,1800000,90,3977000,Discharging
3905,36207,36676,36609,27000,1800000,1800000,90,3979000,Discharging
3907,36475,36877,36207,26900,1800000,1800000,90,3979000,Discharging
3909,35939,37011,36542,26900,1800000,1800000,90,3983000,Discharging
3911,35872,36944,36408,26900,1800000,1800000,90,3980000,Discharging
3914,35939,36944,35805,26900,1416000,1800000,90,3979000,Discharging
3916,35671,36944,35872,26900,1800000,1800000,90,3981000,Discharging
3918,35470,36810,35872,26900,1800000,1800000,90,3980000,Discharging
3920,35671,36676,36743,26900,1800000,1800000,90,3979000,Discharging
3922,36140,37078,35872,26900,1800000,1800000,90,3978000,Discharging
3924,36542,36810,36073,26900,1800000,1800000,90,3980000,Discharging
3926,35939,36743,36676,26900,1800000,1800000,90,3959000,Discharging
3928,35738,36676,35939,27000,1800000,1800000,90,3979000,Discharging
