# fw=nextui workload=bloodyroar start=2026-09-13 13:10:29 soak=99C max0=1800000 gov=schedutil
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,max_khz,batt_pct,batt_uv,status
9758,35604,36609,36140,27500,1800000,1800000,74,3817000,Discharging
9760,35470,36341,36006,27500,1800000,1800000,74,3817000,Discharging
9762,36475,37145,36743,27600,1800000,1800000,74,3811000,Discharging
9764,36609,37480,36408,27600,1608000,1800000,74,3813000,Discharging
9767,36341,37279,36475,27600,1800000,1800000,74,3782000,Discharging
9769,36609,36944,37346,27600,1800000,1800000,74,3807000,Discharging
9771,36944,37480,36810,27500,1800000,1800000,74,3815000,Discharging
9773,35939,37346,36475,27500,1800000,1800000,74,3814000,Discharging
9775,35805,36810,36274,27600,1608000,1800000,74,3815000,Discharging
9777,35939,36810,36542,27600,1800000,1800000,74,3815000,Discharging
9779,35939,36877,36341,27600,1416000,1800000,74,3811000,Discharging
9781,36140,37547,37078,27600,1608000,1800000,74,3811000,Discharging
9783,35671,37011,36274,27600,1800000,1800000,74,3812000,Discharging
9785,35738,37145,36408,27600,1800000,1800000,74,3812000,Discharging
9788,36006,36810,36408,27600,1608000,1800000,74,3812000,Discharging
9790,36140,36810,36207,27600,1800000,1800000,74,3804000,Discharging
9792,35872,37078,36207,27600,1608000,1800000,74,3811000,Discharging
9794,35805,37078,36408,27600,1800000,1800000,74,3812000,Discharging
9796,36073,36944,36408,27600,1800000,1800000,73,3810000,Discharging
9798,35872,37078,36408,27600,1800000,1800000,73,3812000,Discharging
9800,35872,36609,36140,27500,1800000,1800000,73,3815000,Discharging
9802,35939,37212,36274,27600,1416000,1800000,73,3811000,Discharging
9804,35872,36944,36207,27600,1800000,1800000,73,3813000,Discharging
9806,35738,37011,36274,27500,1608000,1800000,73,3813000,Discharging
9809,36274,36609,36743,27500,1800000,1800000,73,3814000,Discharging
9811,35939,37078,36341,27500,1800000,1800000,73,3812000,Discharging
9813,35872,36877,36073,27600,1800000,1800000,73,3811000,Discharging
9815,36006,36877,36207,27500,1800000,1800000,73,3810000,Discharging
9817,35738,36676,36475,27500,1608000,1800000,73,3813000,Discharging
9819,35738,37078,36140,27600,1608000,1800000,73,3814000,Discharging
9821,36207,37413,36542,27600,1800000,1800000,73,3811000,Discharging
9823,36274,37078,37011,27500,1608000,1800000,73,3813000,Discharging
9825,37011,37145,37279,27600,1800000,1800000,73,3809000,Discharging
9828,36609,37480,37011,27500,1800000,1800000,73,3812000,Discharging
9830,36207,37681,36877,27500,1800000,1800000,73,3811000,Discharging
9832,36743,37145,37078,27600,1800000,1800000,73,3813000,Discharging
9834,36341,37614,36944,27500,1800000,1800000,73,3791000,Discharging
9836,36341,37681,36810,27500,1800000,1800000,73,3812000,Discharging
9838,39088,39289,38686,27600,1800000,1800000,73,3803000,Discharging
9840,38820,38552,38083,27600,1800000,1800000,73,3806000,Discharging
9842,37748,38418,37882,27600,1800000,1800000,73,3807000,Discharging
9844,37882,37949,37547,27600,1800000,1800000,73,3803000,Discharging
9847,39959,38686,38887,27600,1800000,1800000,73,3789000,Discharging
9849,37882,38552,38351,27600,1800000,1800000,73,3808000,Discharging
9851,37279,38150,38351,27600,1800000,1800000,73,3804000,Discharging
9853,37547,38485,38150,27600,1800000,1800000,73,3806000,Discharging
9855,37882,37949,37614,27700,1800000,1800000,73,3801000,Discharging
9857,38217,38485,38351,27600,1800000,1800000,73,3798000,Discharging
9859,38217,38619,38150,27600,1800000,1800000,73,3802000,Discharging
9861,38820,38485,38485,27600,1800000,1800000,73,3802000,Discharging
9863,39155,38753,39557,27600,1800000,1800000,73,3798000,Discharging
9866,38552,38686,38284,27600,1800000,1800000,73,3805000,Discharging
9868,38217,38619,37949,27600,1800000,1800000,73,3805000,Discharging
9870,37480,38686,37949,27600,1800000,1800000,73,3801000,Discharging
9872,37614,38284,37882,27600,1800000,1800000,73,3801000,Discharging
