# fw=nextui workload=menuidle start=2026-09-13 22:27:19 gov=performance max0=2000000 devfreq=none,none backlight=none gpu_pm=/sys/devices/platform/7001000.gpu-power-domain/power/runtime_status
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,cpu_pct,batt_pct,batt_uv,status,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight,fb_blank,gpu_pm
10929,36676,37681,37011,29700,1800000,3.0,52,3648000,Discharging,2.4,4.1,2.3,4.2,1357,1444,,,,,unsupported
10931,36274,37480,37212,29700,1800000,3.1,52,3648000,Discharging,3.3,5.2,1.4,2.3,1500,1480,,,,,unsupported
10933,36274,37480,36542,29700,1416000,3.0,52,3647000,Discharging,2.8,2.8,3.3,2.3,1352,1414,,,,,unsupported
10935,36006,37748,36877,29700,1416000,2.8,52,3648000,Discharging,1.4,4.2,1.9,4.2,1392,1413,,,,,unsupported
10937,36676,37614,36810,29700,1800000,3.4,52,3647000,Discharging,3.7,1.9,3.2,4.6,1429,1451,,,,,unsupported
10940,36274,37346,37078,29700,1416000,3.7,52,3648000,Discharging,3.3,2.8,2.3,6.0,1034,978,,,,,unsupported
10942,36274,37614,36944,29700,1416000,2.8,52,3647000,Discharging,3.8,2.8,2.3,2.8,1362,1395,,,,,unsupported
10944,36408,37480,36743,29700,1416000,3.6,52,3648000,Discharging,4.2,1.9,6.4,1.9,1412,1441,,,,,unsupported
10946,36140,37480,37078,29700,1800000,2.8,52,3647000,Discharging,3.7,2.3,1.4,3.8,1351,1406,,,,,unsupported
10948,36274,37882,37145,29700,1416000,2.6,52,3648000,Discharging,2.4,4.3,2.8,1.4,1336,1426,,,,,unsupported
10950,36408,37279,37011,29700,1416000,3.5,52,3648000,Discharging,4.7,3.2,4.2,2.3,1586,1521,,,,,unsupported
10952,36140,37748,36676,29700,1416000,3.1,52,3647000,Discharging,6.0,2.3,0.9,2.8,1362,1446,,,,,unsupported
10955,36006,37413,37011,29700,1416000,3.2,52,3647000,Discharging,1.9,2.8,5.1,2.8,945,944,,,,,unsupported
10957,36274,37346,36609,29700,1608000,2.9,52,3648000,Discharging,3.7,2.8,3.3,2.8,1346,1401,,,,,unsupported
10959,36274,37346,36877,29700,1416000,3.4,52,3646000,Discharging,4.7,1.9,3.7,2.3,1387,1424,,,,,unsupported
10961,36274,37413,36944,29700,1416000,3.0,52,3647000,Discharging,2.9,4.7,3.2,1.9,1516,1472,,,,,unsupported
10963,35939,37346,36810,29700,1800000,3.2,52,3627000,Discharging,3.3,2.8,2.8,2.8,1322,1397,,,,,unsupported
10965,35939,37212,37011,29700,1608000,2.1,52,3648000,Discharging,3.8,1.4,1.4,2.4,1412,1422,,,,,unsupported
10968,36274,37346,36609,29600,1416000,2.5,51,3647000,Discharging,2.8,2.4,1.9,2.4,908,955,,,,,unsupported
10970,36408,37748,36676,29600,1608000,4.6,51,3648000,Discharging,8.0,2.3,4.2,3.8,1602,1782,,,,,unsupported
10972,35939,37346,36341,29600,1800000,3.2,51,3648000,Discharging,2.8,2.8,3.3,4.2,1474,1488,,,,,unsupported
10974,36341,37346,36676,29600,1416000,2.8,51,3647000,Discharging,2.4,1.9,3.3,4.2,1392,1428,,,,,unsupported
10976,36207,37279,36743,29700,1800000,2.9,51,3648000,Discharging,3.3,3.3,2.8,1.9,1344,1385,,,,,unsupported
10978,36006,37145,36877,29700,1416000,3.0,51,3636000,Discharging,3.3,1.9,5.1,1.4,1379,1410,,,,,unsupported
10981,36274,37212,36877,29600,1800000,3.4,51,3647000,Discharging,4.7,3.3,3.3,1.9,1007,984,,,,,unsupported
10983,36006,37681,36609,29600,1800000,2.7,51,3648000,Discharging,4.7,2.8,2.3,0.9,1310,1420,,,,,unsupported
10985,36006,37145,36877,29600,1416000,2.8,51,3647000,Discharging,2.8,1.9,2.8,3.8,1390,1440,,,,,unsupported
10987,35470,37413,37078,29600,1416000,2.5,51,3647000,Discharging,3.8,2.3,2.3,1.9,1394,1430,,,,,unsupported
10989,35939,37614,36810,29600,1416000,3.2,51,3647000,Discharging,2.8,4.2,3.3,2.3,1368,1411,,,,,unsupported
10991,35604,36877,36542,29600,1416000,2.9,51,3648000,Discharging,3.3,3.3,2.4,2.8,1544,1469,,,,,unsupported
10993,36006,37480,36609,29700,1800000,3.0,51,3648000,Discharging,1.4,5.6,1.9,2.8,1352,1440,,,,,unsupported
10996,35604,37078,36609,29600,1416000,3.3,51,3647000,Discharging,3.3,3.7,4.2,1.9,892,939,,,,,unsupported
10998,35805,37346,37011,29600,1416000,3.0,51,3646000,Discharging,3.3,3.7,2.8,2.3,1338,1430,,,,,unsupported
11000,35738,37279,37011,29600,1416000,2.9,51,3647000,Discharging,3.3,2.8,3.2,2.8,1384,1424,,,,,unsupported
11002,36341,37681,36408,29600,1416000,3.4,51,3647000,Discharging,3.8,2.3,6.5,1.9,1506,1484,,,,,unsupported
11004,36207,37547,36810,29600,1416000,2.9,51,3646000,Discharging,3.3,3.8,2.4,1.4,1356,1426,,,,,unsupported
11006,36073,37748,36743,29600,1416000,2.8,51,3646000,Discharging,1.9,5.1,1.9,1.9,1286,1405,,,,,unsupported
11009,36341,37480,36207,29600,1800000,2.7,51,3647000,Discharging,2.3,3.3,2.8,2.8,887,941,,,,,unsupported
11011,35805,37078,36743,29600,1800000,2.7,51,3647000,Discharging,3.8,1.9,4.7,0.5,1392,1422,,,,,unsupported
11013,36140,36944,36609,29600,1416000,3.2,51,3646000,Discharging,2.8,4.7,2.3,3.3,1491,1461,,,,,unsupported
